"産業小分類","総数(経営組織)_事業所数","総数(経営組織)_従業者数(注)","総数(経営組織)_従業者数(注)_男","総数(経営組織)_従業者数(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_女"
"A～R 全産業(S公務を除く)","49196.0","376733.0","200712.0","175518.0","289024.0","150440.0","138177.0","173359.0","115929.0","57400.0"
"　A～B 農林漁業","238.0","2919.0","2088.0","831.0","1684.0","1136.0","548.0","993.0","839.0","154.0"
"　　A 農業，林業","177.0","2302.0","1616.0","686.0","1288.0","822.0","466.0","717.0","591.0","126.0"
"　　　01 農業","127.0","1510.0","875.0","635.0","888.0","462.0","426.0","403.0","309.0","94.0"
"　　　　010 管理，補助的経済活動を行う事業所","2.0","9.0","4.0","5.0","3.0","-","3.0","-","-","-"
"　　　　011 耕種農業","55.0","847.0","352.0","495.0","516.0","199.0","317.0","140.0","100.0","40.0"
"　　　　012 畜産農業","16.0","153.0","100.0","53.0","126.0","85.0","41.0","81.0","61.0","20.0"
"　　　　013 農業サービス業(園芸サービス業を除く)","49.0","452.0","372.0","80.0","204.0","140.0","64.0","145.0","112.0","33.0"
"　　　　014 園芸サービス業","5.0","49.0","47.0","2.0","39.0","38.0","1.0","37.0","36.0","1.0"
"　　　02 林業","50.0","792.0","741.0","51.0","400.0","360.0","40.0","314.0","282.0","32.0"
"　　　　020 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　021 育林業","18.0","60.0","53.0","7.0","23.0","18.0","5.0","19.0","17.0","2.0"
"　　　　022 素材生産業","5.0","33.0","26.0","7.0","25.0","20.0","5.0","25.0","20.0","5.0"
"　　　　023 特用林産物生産業(きのこ類の栽培を除く)","1.0","4.0","4.0","-","2.0","2.0","-","2.0","2.0","-"
"　　　　024 林業サービス業","26.0","695.0","658.0","37.0","350.0","320.0","30.0","268.0","243.0","25.0"
"　　　　029 その他の林業","-","-","-","-","-","-","-","-","-","-"
"　　B 漁業","54.0","599.0","462.0","137.0","386.0","310.0","76.0","270.0","244.0","26.0"
"　　　03 漁業(水産養殖業を除く)","15.0","218.0","181.0","37.0","142.0","129.0","13.0","123.0","111.0","12.0"
"　　　　030 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　031 海面漁業","13.0","206.0","169.0","37.0","142.0","129.0","13.0","123.0","111.0","12.0"
"　　　　032 内水面漁業","2.0","12.0","12.0","-","-","-","-","-","-","-"
"　　　04 水産養殖業","39.0","381.0","281.0","100.0","244.0","181.0","63.0","147.0","133.0","14.0"
"　　　　040 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　041 海面養殖業","23.0","214.0","162.0","52.0","185.0","140.0","45.0","107.0","97.0","10.0"
"　　　　042 内水面養殖業","16.0","167.0","119.0","48.0","59.0","41.0","18.0","40.0","36.0","4.0"
"　　@ 農業，林業，漁業 間格付不能","7.0","18.0","10.0","8.0","10.0","4.0","6.0","6.0","4.0","2.0"
"　　　@Z 農業，林業，漁業 間格付不能","7.0","18.0","10.0","8.0","10.0","4.0","6.0","6.0","4.0","2.0"
"　　　　@ZZ 農業，林業，漁業 間格付不能","7.0","18.0","10.0","8.0","10.0","4.0","6.0","6.0","4.0","2.0"
"　C～R 非農林漁業(S公務を除く)","48958.0","373814.0","198624.0","174687.0","287340.0","149304.0","137629.0","172366.0","115090.0","57246.0"
"　　C 鉱業，採石業，砂利採取業","9.0","105.0","90.0","15.0","85.0","73.0","12.0","85.0","73.0","12.0"
"　　　05 鉱業，採石業，砂利採取業","9.0","105.0","90.0","15.0","85.0","73.0","12.0","85.0","73.0","12.0"
"　　　　050 管理，補助的経済活動を行う事業所","1.0","9.0","9.0","-","6.0","6.0","-","6.0","6.0","-"
"　　　　051 金属鉱業","-","-","-","-","-","-","-","-","-","-"
"　　　　052 石炭・亜炭鉱業","-","-","-","-","-","-","-","-","-","-"
"　　　　053 原油・天然ガス鉱業","-","-","-","-","-","-","-","-","-","-"
"　　　　054 採石業，砂・砂利・玉石採取業","4.0","20.0","14.0","6.0","12.0","9.0","3.0","12.0","9.0","3.0"
"　　　　055 窯業原料用鉱物鉱業(耐火物・陶磁器・ガラス・セメント原料用に限る)","-","-","-","-","-","-","-","-","-","-"
"　　　　059 その他の鉱業","-","-","-","-","-","-","-","-","-","-"
"　　　　05Z 鉱業，採石業，砂利採取業 内格付不能","4.0","76.0","67.0","9.0","67.0","58.0","9.0","67.0","58.0","9.0"
"　　D 建設業","4680.0","28575.0","23415.0","5160.0","19577.0","16266.0","3311.0","15993.0","13729.0","2264.0"
"　　　06 総合工事業","2294.0","15366.0","12356.0","3010.0","10630.0","8640.0","1990.0","8634.0","7313.0","1321.0"
"　　　　060 管理，補助的経済活動を行う事業所","1.0","7.0","7.0","-","7.0","7.0","-","7.0","7.0","-"
"　　　　061 一般土木建築工事業","203.0","2211.0","1870.0","341.0","1774.0","1530.0","244.0","1521.0","1348.0","173.0"
"　　　　062 土木工事業(舗装工事業を除く)","1021.0","7587.0","6188.0","1399.0","5346.0","4430.0","916.0","4213.0","3654.0","559.0"
"　　　　063 舗装工事業","39.0","293.0","253.0","40.0","218.0","194.0","24.0","171.0","154.0","17.0"
"　　　　064 建築工事業(木造建築工事業を除く)","525.0","3291.0","2580.0","711.0","2177.0","1708.0","469.0","1809.0","1483.0","326.0"
"　　　　065 木造建築工事業","353.0","1414.0","1043.0","371.0","807.0","568.0","239.0","681.0","495.0","186.0"
"　　　　066 建築リフォーム工事業","152.0","563.0","415.0","148.0","301.0","203.0","98.0","232.0","172.0","60.0"
"　　　07 職別工事業(設備工事業を除く)","1271.0","4857.0","4016.0","841.0","2561.0","2118.0","443.0","1907.0","1606.0","301.0"
"　　　　070 管理，補助的経済活動を行う事業所","3.0","14.0","11.0","3.0","12.0","10.0","2.0","11.0","10.0","1.0"
"　　　　071 大工工事業","303.0","697.0","589.0","108.0","209.0","167.0","42.0","138.0","110.0","28.0"
"　　　　072 とび・土工・コンクリート工事業","83.0","575.0","507.0","68.0","370.0","329.0","41.0","243.0","214.0","29.0"
"　　　　073 鉄骨・鉄筋工事業","83.0","680.0","603.0","77.0","518.0","463.0","55.0","402.0","369.0","33.0"
"　　　　074 石工・れんが・タイル・ブロック工事業","49.0","191.0","147.0","44.0","104.0","78.0","26.0","64.0","47.0","17.0"
"　　　　075 左官工事業","130.0","293.0","262.0","31.0","100.0","83.0","17.0","66.0","51.0","15.0"
"　　　　076 板金・金物工事業","134.0","410.0","337.0","73.0","184.0","143.0","41.0","134.0","105.0","29.0"
"　　　　077 塗装工事業","202.0","811.0","666.0","145.0","465.0","389.0","76.0","383.0","329.0","54.0"
"　　　　078 床・内装工事業","116.0","401.0","267.0","134.0","170.0","109.0","61.0","121.0","83.0","38.0"
"　　　　079 その他の職別工事業","168.0","785.0","627.0","158.0","429.0","347.0","82.0","345.0","288.0","57.0"
"　　　08 設備工事業","1051.0","8065.0","6834.0","1231.0","6220.0","5389.0","831.0","5323.0","4713.0","610.0"
"　　　　080 管理，補助的経済活動を行う事業所","3.0","189.0","151.0","38.0","180.0","142.0","38.0","163.0","136.0","27.0"
"　　　　081 電気工事業","521.0","3031.0","2537.0","494.0","2136.0","1847.0","289.0","1858.0","1664.0","194.0"
"　　　　082 電気通信・信号装置工事業","61.0","1188.0","1050.0","138.0","1088.0","967.0","121.0","985.0","880.0","105.0"
"　　　　083 管工事業(さく井工事業を除く)","362.0","2133.0","1704.0","429.0","1481.0","1192.0","289.0","1243.0","1038.0","205.0"
"　　　　084 機械器具設置工事業","68.0","1259.0","1169.0","90.0","1129.0","1061.0","68.0","881.0","824.0","57.0"
"　　　　089 その他の設備工事業","36.0","265.0","223.0","42.0","206.0","180.0","26.0","193.0","171.0","22.0"
"　　　DZ 建設業 内格付不能","64.0","287.0","209.0","78.0","166.0","119.0","47.0","129.0","97.0","32.0"
"　　　　DZZ 建設業 内格付不能","64.0","287.0","209.0","78.0","166.0","119.0","47.0","129.0","97.0","32.0"
"　　E 製造業","4334.0","63482.0","42994.0","20488.0","54325.0","37119.0","17206.0","40156.0","32355.0","7801.0"
"　　　09 食料品製造業","781.0","11142.0","4634.0","6508.0","8888.0","3501.0","5387.0","4190.0","2430.0","1760.0"
