"産業大分類","総数(従業者規模)_事業所数","総数(従業者規模)_事業従事者数(人)","総数(従業者規模)_付加価値額(百万円)","1～4人_事業所数","1～4人_事業従事者数(人)","1～4人_付加価値額(百万円)","5～9人_事業所数","5～9人_事業従事者数(人)","5～9人_付加価値額(百万円)","10～19人_事業所数","10～19人_事業従事者数(人)","10～19人_付加価値額(百万円)","20～29人_事業所数","20～29人_事業従事者数(人)","20～29人_付加価値額(百万円)","30～49人_事業所数","30～49人_事業従事者数(人)","30～49人_付加価値額(百万円)","50人以上_事業所数","50人以上_事業従事者数(人)","50人以上_付加価値額(百万円)","出向・派遣従業者のみ_事業所数","出向・派遣従業者のみ_事業従事者数(人)","出向・派遣従業者のみ_付加価値額(百万円)"
"M 宿泊業，飲食サービス業","4714.0","30270.0","52558.0","3234.0","7198.0","7624.0","821.0","5262.0","7319.0","360.0","4810.0","8730.0","148.0","3514.0","7438.0","89.0","3323.0","5742.0","55.0","5938.0","15622.0","7.0","225.0","82.0"
"N 生活関連サービス業，娯楽業","3764.0","14042.0","35804.0","3192.0","5677.0","8015.0","307.0","1985.0","4878.0","152.0","2126.0","8322.0","50.0","1180.0","3365.0","37.0","1426.0","5026.0","22.0","1640.0","5999.0","4.0","8.0","198.0"
"O 教育，学習支援業","1316.0","9765.0","34785.0","1009.0","1653.0","1921.0","145.0","948.0","2121.0","88.0","1195.0","3117.0","26.0","626.0","1563.0","26.0","1011.0","X","21.0","4331.0","22535.0","1.0","1.0","X"
"　O1 教育，学習支援業(学校教育)","102.0","5318.0","24779.0","11.0","24.0","87.0","17.0","121.0","361.0","25.0","367.0","1134.0","14.0","342.0","971.0","19.0","748.0","2817.0","16.0","3716.0","19408.0","-","-","-"
"　O2 教育，学習支援業(その他の教育，学習支援業)","1214.0","4447.0","10007.0","998.0","1629.0","1834.0","128.0","827.0","1760.0","63.0","828.0","1982.0","12.0","284.0","592.0","7.0","263.0","X","5.0","615.0","3127.0","1.0","1.0","X"
"P 医療，福祉","3033.0","48971.0","194883.0","1097.0","2704.0","7939.0","869.0","5813.0","24579.0","529.0","6989.0","25619.0","174.0","4140.0","11902.0","163.0","6130.0","21130.0","198.0","23187.0","103699.0","3.0","8.0","16.0"
"Q 複合サービス事業","457.0","4373.0","17057.0","208.0","668.0","2448.0","140.0","893.0","3631.0","58.0","762.0","2853.0","19.0","459.0","X","20.0","721.0","2470.0","10.0","867.0","4012.0","2.0","3.0","X"
"　Q1 複合サービス事業(郵便局)","307.0","1710.0","6877.0","190.0","623.0","2266.0","89.0","528.0","2226.0","17.0","206.0","879.0","6.0","155.0","X","4.0","139.0","593.0","1.0","59.0","X","-","-","-"
"　Q2 複合サービス事業(協同組合)","150.0","2663.0","10180.0","18.0","45.0","182.0","51.0","365.0","1405.0","41.0","556.0","1974.0","13.0","304.0","983.0","16.0","582.0","1877.0","9.0","808.0","X","2.0","3.0","X"
"R サービス業(他に分類されないもの)","3223.0","20404.0","48356.0","2330.0","4812.0","7265.0","450.0","2909.0","9557.0","225.0","2988.0","11284.0","72.0","1655.0","4568.0","62.0","2229.0","5226.0","52.0","5747.0","10267.0","32.0","64.0","189.0"
"　R1 サービス業(政治・経済・文化団体，宗教)","1695.0","5678.0","5310.0","1445.0","2732.0","1384.0","133.0","830.0","1138.0","61.0","783.0","1187.0","16.0","400.0","397.0","11.0","430.0","502.0","6.0","458.0","616.0","23.0","45.0","86.0"
"　R2 サービス業(政治・経済・文化団体，宗教を除く)","1528.0","14726.0","43046.0","885.0","2080.0","5881.0","317.0","2079.0","8419.0","164.0","2205.0","10097.0","56.0","1255.0","4171.0","51.0","1799.0","4724.0","46.0","5289.0","9651.0","9.0","19.0","103.0"
