"産業大分類","総数(従業者規模)_事業所数","総数(従業者規模)_事業従事者数(人)","総数(従業者規模)_付加価値額(百万円)","1～4人_事業所数","1～4人_事業従事者数(人)","1～4人_付加価値額(百万円)","5～9人_事業所数","5～9人_事業従事者数(人)","5～9人_付加価値額(百万円)","10～19人_事業所数","10～19人_事業従事者数(人)","10～19人_付加価値額(百万円)","20～29人_事業所数","20～29人_事業従事者数(人)","20～29人_付加価値額(百万円)","30～49人_事業所数","30～49人_事業従事者数(人)","30～49人_付加価値額(百万円)","50人以上_事業所数","50人以上_事業従事者数(人)","50人以上_付加価値額(百万円)","出向・派遣従業者のみ_事業所数","出向・派遣従業者のみ_事業従事者数(人)","出向・派遣従業者のみ_付加価値額(百万円)"
"A～B 農林漁業","204.0","2579.0","5895.0","78.0","182.0","464.0","49.0","351.0","955.0","40.0","503.0","1310.0","14.0","348.0","1415.0","14.0","579.0","621.0","9.0","616.0","1129.0","-","-","-"
"C 鉱業，採石業，砂利採取業","9.0","105.0","473.0","1.0","1.0","X","4.0","28.0","133.0","3.0","48.0","X","1.0","28.0","X","-","-","-","-","-","-","-","-","-"
"D 建設業","4104.0","25335.0","117750.0","2495.0","5636.0","18053.0","1014.0","6672.0","24442.0","414.0","5419.0","21716.0","94.0","2248.0","11920.0","54.0","1969.0","8429.0","31.0","3389.0","X","2.0","2.0","X"
"E 製造業","3888.0","57766.0","358609.0","1909.0","4737.0","11226.0","911.0","6182.0","20059.0","487.0","6839.0","26961.0","207.0","4974.0","19476.0","148.0","5755.0","31550.0","216.0","29249.0","249145.0","10.0","30.0","193.0"
"F 電気・ガス・熱供給・水道業","34.0","1631.0","8905.0","7.0","16.0","144.0","4.0","31.0","436.0","5.0","70.0","270.0","6.0","136.0","X","-","-","-","11.0","1372.0","6180.0","1.0","6.0","X"
"G 情報通信業","237.0","3125.0","15472.0","124.0","283.0","1161.0","46.0","343.0","1369.0","34.0","442.0","2255.0","7.0","163.0","X","11.0","427.0","4819.0","14.0","1464.0","5248.0","1.0","3.0","X"
"　G1 情報通信業(通信業，放送業，映像・音声・文字情報制作業)","119.0","1435.0","9603.0","58.0","130.0","626.0","26.0","216.0","878.0","16.0","197.0","1369.0","3.0","62.0","288.0","9.0","350.0","X","7.0","480.0","X","-","-","-"
"　G2 情報通信業(情報サービス業，インターネット附随サービス業)","118.0","1690.0","5870.0","66.0","153.0","535.0","20.0","127.0","491.0","18.0","245.0","887.0","4.0","101.0","X","2.0","77.0","X","7.0","984.0","X","1.0","3.0","X"
"H 運輸業，郵便業","864.0","18649.0","75602.0","184.0","478.0","1521.0","217.0","1481.0","5191.0","208.0","3004.0","13116.0","104.0","2509.0","9796.0","74.0","2804.0","11845.0","75.0","8370.0","X","2.0","3.0","X"
"I 卸売業，小売業","12093.0","76488.0","271844.0","8356.0","18510.0","44624.0","2096.0","13577.0","50588.0","990.0","13143.0","56360.0","270.0","6391.0","26151.0","160.0","5997.0","22762.0","176.0","18332.0","70333.0","45.0","538.0","1025.0"
"J 金融業，保険業","701.0","10285.0","87604.0","263.0","616.0","3361.0","114.0","761.0","4159.0","164.0","2361.0","20643.0","77.0","1905.0","16972.0","51.0","1904.0","17435.0","23.0","2720.0","24988.0","9.0","18.0","47.0"
"K 不動産業，物品賃貸業","2598.0","6707.0","26656.0","2322.0","3973.0","10551.0","193.0","1270.0","6303.0","57.0","764.0","5906.0","11.0","228.0","1138.0","2.0","85.0","X","4.0","375.0","X","9.0","12.0","57.0"
"L 学術研究， 専門・技術サービス業","1297.0","6755.0","29109.0","911.0","2008.0","5984.0","259.0","1683.0","6364.0","78.0","1069.0","7591.0","24.0","569.0","2196.0","15.0","589.0","2777.0","7.0","828.0","4164.0","3.0","9.0","33.0"
