"産業中分類","総数(経営組織)事業所数","総数(経営組織)従業者数 (注)","総数(経営組織)従業者数 (注)_男","総数(経営組織)従業者数 (注)_女","総数(経営組織)従業者数 (注)_個人業主 (注)","総数(経営組織)従業者数 (注)_個人業主 (注)_男","総数(経営組織)従業者数 (注)_個人業主 (注)_女","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_男","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_女","総数(経営組織)従業者数 (注)_有給役員(注)","総数(経営組織)従業者数 (注)_有給役員(注)_男","総数(経営組織)従業者数 (注)_有給役員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)_男","総数(経営組織)従業者数 (注)_正社員・正職員(注)_正社員・正職員以外 (注)_女","総数(経営組織)従業者数 (注)_臨時雇用者 (注)","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_男","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_個人業主 (注)","個人_従業者数(注)_個人業主 (注)_男","個人_従業者数(注)_個人業主 (注)_女","個人_従業者数(注)_無給の家族従業者(注)","個人_従業者数(注)_無給の家族従業者(注)_男","個人_従業者数(注)_無給の家族従業者(注)_女","個人_従業者数(注)_常用雇用者(注)","個人_従業者数(注)_常用雇用者(注)_男","個人_従業者数(注)_常用雇用者(注)_女","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_男","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_女","個人_従業者数(注)_臨時雇用者(注)","個人_従業者数(注)_臨時雇用者(注)_男","個人_従業者数(注)_臨時雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_有給役員(注)","法人_従業者数(注)_有給役員(注)_男","法人_従業者数(注)_有給役員(注)_女","法人_従業者数(注)_常用雇用者 (注)","法人_従業者数(注)_常用雇用者 (注)_男","法人_従業者数(注)_常用雇用者 (注)_女","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人_従業者数(注)_臨時雇用者(注)","法人_従業者数(注)_臨時雇用者(注)_男","法人_従業者数(注)_臨時雇用者(注)_女","会社_事業所数","会社_従業者数(注)","会社_従業者数(注)_男","会社_従業者数(注)_女","会社_従業者数(注)_有給役員(注)","会社_従業者数(注)_有給役員(注)_男","会社_従業者数(注)_有給役員(注)_女","会社_従業者数(注)_常用雇用者 (注)","会社_従業者数(注)_常用雇用者 (注)_男","会社_従業者数(注)_常用雇用者 (注)_女","会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社_従業者数(注)_臨時雇用者(注)","会社_従業者数(注)_臨時雇用者(注)_男","会社_従業者数(注)_臨時雇用者(注)_女","株式・有限・相互会社_事業所数","株式・有限・相互会社_従業者数(注)","株式・有限・相互会社_従業者数(注)_男","株式・有限・相互会社_従業者数(注)_女","株式・有限・相互会社_従業者数(注)_有給役員(注)","株式・有限・相互会社_従業者数(注)_有給役員(注)_男","株式・有限・相互会社_従業者数(注)_有給役員(注)_女","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_男","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_女","株式・有限・相互会社_常用雇用者 (注)_従業者数(注)うち正社員・正職員 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","株式・有限・相互会社_従業者数(注)常用雇用者 (注)うち正社員・正職員 (注)_女","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_男","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_女","合名・合資会社_事業所数","合名・合資会社_従業者数(注)","合名・合資会社_従業者数(注)_男","合名・合資会社_従業者数(注)_女","株合名・合資会社_従業者数(注)_有給役員(注)","合名・合資会社_従業者数(注)_有給役員(注)_男","合名・合資会社_従業者数(注)_有給役員(注)_女","合名・合資会社_従業者数(注)_常用雇用者 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_女","合名・合資会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合名・合資会社_従業者数(注)_臨時雇用者(注)","合名・合資会社_従業者数(注)_臨時雇用者(注)_男","合名・合資会社_従業者数(注)_臨時雇用者(注)_女","合同会社_事業所数","合同会社_従業者数(注)","合同会社_従業者数(注)_男","合同会社_従業者数(注)_女","合同会社_従業者数(注)_有給役員(注)","合同会社_従業者数(注)_有給役員(注)_男","合同会社_従業者数(注)_有給役員(注)_女","合同会社_従業者数(注)_常用雇用者 (注)","合同会社_従業者数(注)_常用雇用者 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_女","合同会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合同会社_従業者数(注)_臨時雇用者(注)","合同会社_従業者数(注)_臨時雇用者(注)_男","合同会社_従業者数(注)_臨時雇用者(注)_女","外国の会社_事業所数","外国の会社_従業者数(注)","外国の会社_従業者数(注)_男","外国の会社_従業者数(注)_女","外国の会社_従業者数(注)_有給役員(注)","外国の会社_従業者数(注)_有給役員(注)_男","外国の会社_従業者数(注)_有給役員(注)_女","外国の会社_従業者数(注)_常用雇用者 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_女","外国の会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","外国の会社_従業者数(注)_臨時雇用者(注)","外国の会社_従業者数(注)_臨時雇用者(注)_男","外国の会社_従業者数(注)_臨時雇用者(注)_女","会社以外の法人_事業所数","会社以外の法人_従業者数(注)","会社以外の法人_従業者数(注)_男","会社以外の法人_従業者数(注)_女","会社以外の法人_従業者数(注)_有給役員(注)","会社以外の法人_従業者数(注)_有給役員(注)_男","会社以外の法人_従業者数(注)_有給役員(注)_女","会社以外の法人_従業者数(注)_常用雇用者 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_女","会社以外の法人_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社以外の法人_従業者数(注)_臨時雇用者(注)","会社以外の法人_従業者数(注)_臨時雇用者(注)_男","会社以外の法人_従業者数(注)_臨時雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_有給役員(注)","法人でない団体_従業者数(注)_有給役員(注)_男","法人でない団体_従業者数(注)_有給役員(注)_女","法人でない団体_従業者数(注)_常用雇用者 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_女","法人でない団体_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人でない団体_従業者数(注)_臨時雇用者(注)","法人でない団体_従業者数(注)_臨時雇用者(注)_男","法人でない団体_従業者数(注)_臨時雇用者(注)_女"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)","1271.0","4857.0","4016.0","841.0","941.0","937.0","4.0","231.0","51.0","180.0","588.0","415.0","173.0","2561.0","2118.0","443.0","1907.0","1606.0","301.0","654.0","512.0","142.0","536.0","495.0","41.0","950.0","2391.0","2001.0","390.0","941.0","937.0","4.0","231.0","51.0","180.0","887.0","689.0","198.0","651.0","504.0","147.0","332.0","324.0","8.0","321.0","2466.0","2015.0","451.0","588.0","415.0","173.0","1674.0","1429.0","245.0","1256.0","1102.0","154.0","204.0","171.0","33.0","320.0","2465.0","2015.0","450.0","588.0","415.0","173.0","1673.0","1429.0","244.0","1256.0","1102.0","154.0","204.0","171.0","33.0","318.0","2460.0","2012.0","448.0","586.0","413.0","173.0","1670.0","1428.0","242.0","1253.0","1101.0","152.0","204.0","171.0","33.0","1.0","2.0","2.0","-","1.0","1.0","-","1.0","1.0","-","1.0","1.0","-","-","-","-","1.0","3.0","1.0","2.0","1.0","1.0","-","2.0","-","2.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","1.0","-","1.0","-","-","-","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業","1051.0","8065.0","6834.0","1231.0","471.0","463.0","8.0","142.0","29.0","113.0","939.0","685.0","254.0","6220.0","5389.0","831.0","5323.0","4713.0","610.0","897.0","676.0","221.0","293.0","268.0","25.0","480.0","1283.0","993.0","290.0","471.0","463.0","8.0","142.0","29.0","113.0","551.0","390.0","161.0","449.0","332.0","117.0","119.0","111.0","8.0","571.0","6782.0","5841.0","941.0","939.0","685.0","254.0","5669.0","4999.0","670.0","4874.0","4381.0","493.0","174.0","157.0","17.0","565.0","6741.0","5812.0","929.0","928.0","674.0","254.0","5639.0","4981.0","658.0","4861.0","4370.0","491.0","174.0","157.0","17.0","564.0","6740.0","5811.0","929.0","927.0","673.0","254.0","5639.0","4981.0","658.0","4861.0","4370.0","491.0","174.0","157.0","17.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.0","41.0","29.0","12.0","11.0","11.0","-","30.0","18.0","12.0","13.0","11.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　DZ 建設業 内格付不能_","64.0","287.0","209.0","78.0","33.0","33.0","-","10.0","1.0","9.0","49.0","33.0","16.0","166.0","119.0","47.0","129.0","97.0","32.0","37.0","22.0","15.0","29.0","23.0","6.0","34.0","94.0","67.0","27.0","33.0","33.0","-","10.0","1.0","9.0","37.0","22.0","15.0","22.0","12.0","10.0","14.0","11.0","3.0","30.0","193.0","142.0","51.0","49.0","33.0","16.0","129.0","97.0","32.0","107.0","85.0","22.0","15.0","12.0","3.0","29.0","192.0","142.0","50.0","49.0","33.0","16.0","128.0","97.0","31.0","106.0","85.0","21.0","15.0","12.0","3.0","29.0","192.0","142.0","50.0","49.0","33.0","16.0","128.0","97.0","31.0","106.0","85.0","21.0","15.0","12.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","1.0","-","1.0","-","-","-","1.0","-","1.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_","4334.0","63482.0","42994.0","20488.0","1967.0","1853.0","114.0","1004.0","194.0","810.0","3951.0","2778.0","1173.0","54325.0","37119.0","17206.0","40156.0","32355.0","7801.0","14169.0","4764.0","9405.0","2235.0","1050.0","1185.0","2013.0","7159.0","3791.0","3368.0","1967.0","1853.0","114.0","1004.0","194.0","810.0","3629.0","1524.0","2105.0","1959.0","1172.0","787.0","559.0","220.0","339.0","2311.0","56226.0","39162.0","17064.0","3949.0","2776.0","1173.0","50637.0","35566.0","15071.0","38166.0","31159.0","7007.0","1640.0","820.0","820.0","2254.0","55673.0","38828.0","16845.0","3931.0","2759.0","1172.0","50118.0","35259.0","14859.0","37871.0","30945.0","6926.0","1624.0","810.0","814.0","2237.0","55510.0","38749.0","16761.0","3902.0","2743.0","1159.0","50073.0","35232.0","14841.0","37840.0","30919.0","6921.0","1535.0","774.0","761.0","16.0","79.0","48.0","31.0","29.0","16.0","13.0","41.0","26.0","15.0","28.0","25.0","3.0","9.0","6.0","3.0","1.0","84.0","31.0","53.0","-","-","-","4.0","1.0","3.0","3.0","1.0","2.0","80.0","30.0","50.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57.0","553.0","334.0","219.0","18.0","17.0","1.0","519.0","307.0","212.0","295.0","214.0","81.0","16.0","10.0","6.0","10.0","97.0","41.0","56.0","2.0","2.0","-","59.0","29.0","30.0","31.0","24.0","7.0","36.0","10.0","26.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業","781.0","11142.0","4634.0","6508.0","361.0","330.0","31.0","247.0","51.0","196.0","697.0","461.0","236.0","8888.0","3501.0","5387.0","4190.0","2430.0","1760.0","4698.0","1071.0","3627.0","949.0","291.0","658.0","368.0","1851.0","750.0","1101.0","361.0","330.0","31.0","247.0","51.0","196.0","1027.0","307.0","720.0","404.0","192.0","212.0","216.0","62.0","154.0","409.0","9251.0","3879.0","5372.0","696.0","460.0","236.0","7838.0","3190.0","4648.0","3784.0","2237.0","1547.0","717.0","229.0","488.0","387.0","8980.0","3759.0","5221.0","691.0","456.0","235.0","7580.0","3077.0","4503.0","3701.0","2188.0","1513.0","709.0","226.0","483.0","382.0","8872.0","3719.0","5153.0","683.0","452.0","231.0","7560.0","3071.0","4489.0","3694.0","2183.0","1511.0","629.0","196.0","433.0","4.0","24.0","9.0","15.0","8.0","4.0","4.0","16.0","5.0","11.0","4.0","4.0","-","-","-","-","1.0","84.0","31.0","53.0","-","-","-","4.0","1.0","3.0","3.0","1.0","2.0","80.0","30.0","50.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22.0","271.0","120.0","151.0","5.0","4.0","1.0","258.0","113.0","145.0","83.0","49.0","34.0","8.0","3.0","5.0","4.0","40.0","5.0","35.0","1.0","1.0","-","23.0","4.0","19.0","2.0","1.0","1.0","16.0","-","16.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業","64.0","1450.0","1081.0","369.0","13.0","11.0","2.0","6.0","-","6.0","95.0","68.0","27.0","1285.0","977.0","308.0","960.0","828.0","132.0","325.0","149.0","176.0","51.0","25.0","26.0","14.0","39.0","15.0","24.0","13.0","11.0","2.0","6.0","-","6.0","18.0","3.0","15.0","4.0","1.0","3.0","2.0","1.0","1.0","50.0","1411.0","1066.0","345.0","95.0","68.0","27.0","1267.0","974.0","293.0","956.0","827.0","129.0","49.0","24.0","25.0","44.0","1390.0","1050.0","340.0","95.0","68.0","27.0","1251.0","962.0","289.0","942.0","816.0","126.0","44.0","20.0","24.0","44.0","1390.0","1050.0","340.0","95.0","68.0","27.0","1251.0","962.0","289.0","942.0","816.0","126.0","44.0","20.0","24.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.0","21.0","16.0","5.0","-","-","-","16.0","12.0","4.0","14.0","11.0","3.0","5.0","4.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業","719.0","6134.0","3044.0","3090.0","403.0","361.0","42.0","235.0","37.0","198.0","568.0","383.0","185.0","4717.0","2210.0","2507.0","3247.0","1956.0","1291.0","1470.0","254.0","1216.0","211.0","53.0","158.0","409.0","1477.0","611.0","866.0","403.0","361.0","42.0","235.0","37.0","198.0","733.0","187.0","546.0","319.0","133.0","186.0","106.0","26.0","80.0","310.0","4657.0","2433.0","2224.0","568.0","383.0","185.0","3984.0","2023.0","1961.0","2928.0","1823.0","1105.0","105.0","27.0","78.0","307.0","4644.0","2425.0","2219.0","568.0","383.0","185.0","3971.0","2015.0","1956.0","2921.0","1817.0","1104.0","105.0","27.0","78.0","305.0","4636.0","2422.0","2214.0","564.0","381.0","183.0","3971.0","2015.0","1956.0","2921.0","1817.0","1104.0","101.0","26.0","75.0","2.0","8.0","3.0","5.0","4.0","2.0","2.0","-","-","-","-","-","-","4.0","1.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.0","13.0","8.0","5.0","-","-","-","13.0","8.0","5.0","7.0","6.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)","293.0","1918.0","1438.0","480.0","142.0","140.0","2.0","71.0","18.0","53.0","234.0","163.0","71.0","1411.0","1073.0","338.0","1152.0","937.0","215.0","259.0","136.0","123.0","60.0","44.0","16.0","145.0","436.0","307.0","129.0","142.0","140.0","2.0","71.0","18.0","53.0","196.0","128.0","68.0","126.0","90.0","36.0","27.0","21.0","6.0","146.0","1458.0","1110.0","348.0","234.0","163.0","71.0","1191.0","924.0","267.0","1002.0","826.0","176.0","33.0","23.0","10.0","139.0","1436.0","1092.0","344.0","233.0","162.0","71.0","1170.0","907.0","263.0","990.0","814.0","176.0","33.0","23.0","10.0","136.0","1425.0","1083.0","342.0","229.0","159.0","70.0","1164.0","902.0","262.0","985.0","809.0","176.0","32.0","22.0","10.0","3.0","11.0","9.0","2.0","4.0","3.0","1.0","6.0","5.0","1.0","5.0","5.0","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.0","22.0","18.0","4.0","1.0","1.0","-","21.0","17.0","4.0","12.0","12.0","-","-","-","-","2.0","24.0","21.0","3.0","-","-","-","24.0","21.0","3.0","24.0","21.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業","386.0","2138.0","1530.0","608.0","261.0","258.0","3.0","101.0","21.0","80.0","216.0","150.0","66.0","1474.0","1041.0","433.0","1104.0","910.0","194.0","370.0","131.0","239.0","86.0","60.0","26.0","270.0","798.0","589.0","209.0","261.0","258.0","3.0","101.0","21.0","80.0","411.0","291.0","120.0","323.0","248.0","75.0","25.0","19.0","6.0","116.0","1340.0","941.0","399.0","216.0","150.0","66.0","1063.0","750.0","313.0","781.0","662.0","119.0","61.0","41.0","20.0","116.0","1340.0","941.0","399.0","216.0","150.0","66.0","1063.0","750.0","313.0","781.0","662.0","119.0","61.0","41.0","20.0","116.0","1340.0","941.0","399.0","216.0","150.0","66.0","1063.0","750.0","313.0","781.0","662.0","119.0","61.0","41.0","20.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業","63.0","881.0","585.0","296.0","21.0","20.0","1.0","14.0","2.0","12.0","78.0","53.0","25.0","751.0","504.0","247.0","507.0","429.0","78.0","244.0","75.0","169.0","17.0","6.0","11.0","22.0","103.0","51.0","52.0","21.0","20.0","1.0","14.0","2.0","12.0","57.0","24.0","33.0","22.0","16.0","6.0","11.0","5.0","6.0","41.0","778.0","534.0","244.0","78.0","53.0","25.0","694.0","480.0","214.0","485.0","413.0","72.0","6.0","1.0","5.0","40.0","771.0","533.0","238.0","78.0","53.0","25.0","687.0","479.0","208.0","479.0","412.0","67.0","6.0","1.0","5.0","40.0","771.0","533.0","238.0","78.0","53.0","25.0","687.0","479.0","208.0","479.0","412.0","67.0","6.0","1.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","7.0","1.0","6.0","-","-","-","7.0","1.0","6.0","6.0","1.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業","215.0","2011.0","1351.0","660.0","116.0","106.0","10.0","56.0","9.0","47.0","177.0","128.0","49.0","1635.0","1098.0","537.0","1065.0","764.0","301.0","570.0","334.0","236.0","27.0","10.0","17.0","118.0","352.0","201.0","151.0","116.0","106.0","10.0","56.0","9.0","47.0","167.0","80.0","87.0","128.0","73.0","55.0","13.0","6.0","7.0","97.0","1659.0","1150.0","509.0","177.0","128.0","49.0","1468.0","1018.0","450.0","937.0","691.0","246.0","14.0","4.0","10.0","95.0","1655.0","1147.0","508.0","176.0","127.0","49.0","1465.0","1016.0","449.0","934.0","689.0","245.0","14.0","4.0","10.0","93.0","1649.0","1144.0","505.0","173.0","126.0","47.0","1462.0","1014.0","448.0","931.0","687.0","244.0","14.0","4.0","10.0","2.0","6.0","3.0","3.0","3.0","1.0","2.0","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","4.0","3.0","1.0","1.0","1.0","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業","113.0","5663.0","4268.0","1395.0","11.0","11.0","-","4.0","1.0","3.0","159.0","130.0","29.0","5415.0","4095.0","1320.0","4482.0","3746.0","736.0","933.0","349.0","584.0","74.0","31.0","43.0","14.0","37.0","28.0","9.0","11.0","11.0","-","4.0","1.0","3.0","20.0","15.0","5.0","17.0","13.0","4.0","2.0","1.0","1.0","99.0","5626.0","4240.0","1386.0","159.0","130.0","29.0","5395.0","4080.0","1315.0","4465.0","3733.0","732.0","72.0","30.0","42.0","97.0","5593.0","4225.0","1368.0","159.0","130.0","29.0","5362.0","4065.0","1297.0","4438.0","3719.0","719.0","72.0","30.0","42.0","97.0","5593.0","4225.0","1368.0","159.0","130.0","29.0","5362.0","4065.0","1297.0","4438.0","3719.0","719.0","72.0","30.0","42.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","33.0","15.0","18.0","-","-","-","33.0","15.0","18.0","27.0","14.0","13.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業","22.0","1036.0","956.0","80.0","1.0","1.0","-","1.0","-","1.0","16.0","14.0","2.0","1018.0","941.0","77.0","920.0","876.0","44.0","98.0","65.0","33.0","-","-","-","1.0","2.0","1.0","1.0","1.0","1.0","-","1.0","-","1.0","-","-","-","-","-","-","-","-","-","20.0","1030.0","952.0","78.0","16.0","14.0","2.0","1014.0","938.0","76.0","917.0","874.0","43.0","-","-","-","20.0","1030.0","952.0","78.0","16.0","14.0","2.0","1014.0","938.0","76.0","917.0","874.0","43.0","-","-","-","20.0","1030.0","952.0","78.0","16.0","14.0","2.0","1014.0","938.0","76.0","917.0","874.0","43.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","4.0","3.0","1.0","-","-","-","4.0","3.0","1.0","3.0","2.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)","146.0","2508.0","1509.0","999.0","45.0","42.0","3.0","21.0","4.0","17.0","177.0","118.0","59.0","2186.0","1314.0","872.0","1453.0","1074.0","379.0","733.0","240.0","493.0","79.0","31.0","48.0","45.0","239.0","81.0","158.0","45.0","42.0","3.0","21.0","4.0","17.0","166.0","33.0","133.0","60.0","21.0","39.0","7.0","2.0","5.0","101.0","2269.0","1428.0","841.0","177.0","118.0","59.0","2020.0","1281.0","739.0","1393.0","1053.0","340.0","72.0","29.0","43.0","100.0","2266.0","1427.0","839.0","177.0","118.0","59.0","2017.0","1280.0","737.0","1391.0","1053.0","338.0","72.0","29.0","43.0","100.0","2266.0","1427.0","839.0","177.0","118.0","59.0","2017.0","1280.0","737.0","1391.0","1053.0","338.0","72.0","29.0","43.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","3.0","1.0","2.0","-","-","-","3.0","1.0","2.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業","25.0","1187.0","729.0","458.0","5.0","5.0","-","2.0","-","2.0","45.0","31.0","14.0","1132.0","693.0","439.0","774.0","624.0","150.0","358.0","69.0","289.0","3.0","-","3.0","5.0","12.0","5.0","7.0","5.0","5.0","-","2.0","-","2.0","5.0","-","5.0","5.0","-","5.0","-","-","-","20.0","1175.0","724.0","451.0","45.0","31.0","14.0","1127.0","693.0","434.0","769.0","624.0","145.0","3.0","-","3.0","20.0","1175.0","724.0","451.0","45.0","31.0","14.0","1127.0","693.0","434.0","769.0","624.0","145.0","3.0","-","3.0","20.0","1175.0","724.0","451.0","45.0","31.0","14.0","1127.0","693.0","434.0","769.0","624.0","145.0","3.0","-","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
