"産業中分類，従業者規模","事業所数","事業所数_他への出向・派遣 _有","事業所数_他への出向・派遣 _無","事業所数_他からの出向・派遣 (注2)_出向又は派遣_有 ","事業所数_他からの出向・派遣 (注2)_出向又は派遣_無","事業所数_他からの出向・派遣 (注2)_出向_有","事業所数_他からの出向・派遣 (注2)_出向_無","事業所数_他からの出向・派遣 (注2)_派遣_有","事業所数_他からの出向・派遣 (注2)_派遣_無","従業者数(人) ","従業者数(人) _男","従業者数(人) _女","従業者数(人) _うち他への出向・派遣従業者数","従業者数(人) _うち他への出向・派遣従業者数_男","従業者数(人) _うち他への出向・派遣従業者数_女","他からの出向・派遣従業者数","他からの出向・派遣従業者数_男 ","他からの出向・派遣従業者数_女 ","他からの出向・派遣従業者数_出向 ","他からの出向・派遣従業者数_出向 _男","他からの出向・派遣従業者数_出向 _女","他からの出向・派遣従業者数_派遣 ","他からの出向・派遣従業者数_派遣 _男","他からの出向・派遣従業者数_派遣 _女"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業","78.0","1.0","77.0","2.0","76.0","-","78.0","2.0","76.0","708.0","445.0","263.0","8.0","-","8.0","5.0","2.0","3.0","-","-","-","5.0","2.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　　G1 通信業，放送業，映像・音声・文字情報制作業 内格付不能_","3.0","-","3.0","-","3.0","-","3.0","-","3.0","28.0","4.0","24.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　G2 情報サービス業，インターネット附随サービス業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_","981.0","20.0","961.0","64.0","917.0","44.0","937.0","19.0","962.0","20201.0","16946.0","3255.0","204.0","187.0","17.0","400.0","352.0","48.0","258.0","240.0","18.0","49.0","32.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　42 鉄道業","41.0","-","41.0","2.0","39.0","-","41.0","-","41.0","1586.0","1435.0","151.0","-","-","-","74.0","69.0","5.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業","142.0","2.0","140.0","11.0","131.0","11.0","131.0","-","142.0","3228.0","2912.0","316.0","122.0","122.0","-","143.0","137.0","6.0","143.0","137.0","6.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業","549.0","7.0","542.0","32.0","517.0","22.0","527.0","10.0","539.0","9963.0","8767.0","1196.0","48.0","35.0","13.0","130.0","110.0","20.0","93.0","85.0","8.0","25.0","18.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業","40.0","-","40.0","1.0","39.0","-","40.0","1.0","39.0","302.0","251.0","51.0","-","-","-","9.0","4.0","5.0","-","-","-","9.0","4.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　46 航空運輸業","1.0","-","1.0","1.0","-","-","1.0","-","1.0","3.0","2.0","1.0","-","-","-","7.0","4.0","3.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　47 倉庫業","45.0","2.0","43.0","4.0","41.0","2.0","43.0","2.0","43.0","1121.0","426.0","695.0","17.0","15.0","2.0","4.0","4.0","-","2.0","2.0","-","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業","99.0","7.0","92.0","12.0","87.0","9.0","90.0","5.0","94.0","1773.0","1459.0","314.0","15.0","13.0","2.0","32.0","23.0","9.0","20.0","16.0","4.0","12.0","7.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　49 郵便業(信書便事業を含む)","51.0","1.0","50.0","-","51.0","-","51.0","-","51.0","2063.0","1607.0","456.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　HZ 運輸業，郵便業 内格付不能_","13.0","1.0","12.0","1.0","12.0","-","13.0","1.0","12.0","162.0","87.0","75.0","1.0","1.0","-","1.0","1.0","-","-","-","-","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_","13910.0","54.0","13856.0","290.0","13620.0","167.0","13743.0","97.0","13813.0","84766.0","40247.0","44411.0","175.0","104.0","71.0","2278.0","717.0","1561.0","927.0","255.0","672.0","1278.0","421.0","857.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　50 各種商品卸売業","9.0","-","9.0","-","9.0","-","9.0","-","9.0","62.0","44.0","18.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業","106.0","2.0","104.0","3.0","103.0","1.0","105.0","2.0","104.0","755.0","350.0","405.0","7.0","7.0","-","151.0","109.0","42.0","1.0","1.0","-","150.0","108.0","42.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　52 飲食料品卸売業","857.0","9.0","848.0","21.0","836.0","13.0","844.0","6.0","851.0","7108.0","3958.0","3150.0","20.0","11.0","9.0","65.0","32.0","33.0","52.0","24.0","28.0","10.0","6.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業","670.0","10.0","660.0","19.0","651.0","12.0","658.0","8.0","662.0","4355.0","3144.0","1211.0","25.0","21.0","4.0","50.0","36.0","14.0","42.0","31.0","11.0","8.0","5.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業","460.0","-","460.0","19.0","441.0","5.0","455.0","12.0","448.0","3127.0","2367.0","760.0","-","-","-","37.0","17.0","20.0","9.0","7.0","2.0","22.0","5.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業","704.0","7.0","697.0","29.0","675.0","10.0","694.0","15.0","689.0","5294.0","3169.0","2125.0","21.0","17.0","4.0","68.0","42.0","26.0","34.0","22.0","12.0","30.0","18.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　56 各種商品小売業","28.0","-","28.0","3.0","25.0","2.0","26.0","1.0","27.0","2843.0","624.0","2219.0","-","-","-","1031.0","249.0","782.0","101.0","19.0","82.0","930.0","230.0","700.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業","1372.0","4.0","1368.0","13.0","1359.0","7.0","1365.0","6.0","1366.0","4551.0","1218.0","3333.0","5.0","2.0","3.0","31.0","9.0","22.0","10.0","5.0","5.0","21.0","4.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業","3504.0","8.0","3496.0","31.0","3473.0","19.0","3485.0","8.0","3496.0","25346.0","8998.0","16348.0","39.0","17.0","22.0","116.0","53.0","63.0","46.0","22.0","24.0","44.0","27.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業","1520.0","2.0","1518.0","42.0","1478.0","24.0","1496.0","15.0","1505.0","7647.0","5434.0","2213.0","2.0","2.0","-","117.0","79.0","38.0","81.0","62.0","19.0","25.0","8.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業","4264.0","10.0","4254.0","72.0","4192.0","41.0","4223.0","19.0","4245.0","21729.0","9927.0","11694.0","53.0","26.0","27.0","170.0","78.0","92.0","118.0","52.0","66.0","29.0","7.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業","302.0","1.0","301.0","34.0","268.0","31.0","271.0","3.0","299.0","1418.0","738.0","680.0","1.0","-","1.0","429.0","5.0","424.0","426.0","4.0","422.0","3.0","1.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　　I1 卸売業 内格付不能_","46.0","-","46.0","2.0","44.0","1.0","45.0","1.0","45.0","265.0","155.0","110.0","-","-","-","6.0","5.0","1.0","5.0","5.0","-","1.0","-","1.0"
"　C～R 非農林漁業(S公務を除く)_　　　I2 小売業 内格付不能_","68.0","1.0","67.0","2.0","66.0","1.0","67.0","1.0","67.0","266.0","121.0","145.0","2.0","1.0","1.0","7.0","3.0","4.0","2.0","1.0","1.0","5.0","2.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_","771.0","13.0","758.0","104.0","667.0","74.0","697.0","45.0","726.0","10507.0","4579.0","5928.0","153.0","141.0","12.0","389.0","231.0","158.0","216.0","184.0","32.0","168.0","46.0","122.0"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　62 銀行業","113.0","2.0","111.0","53.0","60.0","42.0","71.0","25.0","88.0","3314.0","1323.0","1991.0","125.0","115.0","10.0","251.0","164.0","87.0","140.0","122.0","18.0","111.0","42.0","69.0"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　63 協同組織金融業","99.0","3.0","96.0","5.0","94.0","2.0","97.0","2.0","97.0","1580.0","956.0","624.0","14.0","14.0","-","8.0","4.0","4.0","4.0","4.0","-","2.0","-","2.0"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　64 貸金業，クレジットカード業等非預金信用機関","44.0","1.0","43.0","8.0","36.0","4.0","40.0","4.0","40.0","200.0","120.0","80.0","1.0","1.0","-","26.0","12.0","14.0","14.0","10.0","4.0","11.0","1.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　65 金融商品取引業，商品先物取引業","26.0","-","26.0","4.0","22.0","1.0","25.0","3.0","23.0","429.0","265.0","164.0","-","-","-","4.0","1.0","3.0","1.0","1.0","-","3.0","-","3.0"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　66 補助的金融業等","9.0","1.0","8.0","3.0","6.0","1.0","8.0","2.0","7.0","158.0","125.0","33.0","5.0","5.0","-","10.0","7.0","3.0","5.0","5.0","-","5.0","2.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)","463.0","6.0","457.0","29.0","434.0","24.0","439.0","7.0","456.0","4356.0","1475.0","2881.0","8.0","6.0","2.0","87.0","43.0","44.0","52.0","42.0","10.0","33.0","1.0","32.0"
"　C～R 非農林漁業(S公務を除く)_　　　JZ 金融業，保険業 内格付不能_","17.0","-","17.0","2.0","15.0","-","17.0","2.0","15.0","470.0","315.0","155.0","-","-","-","3.0","-","3.0","-","-","-","3.0","-","3.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_","3018.0","11.0","3007.0","59.0","2959.0","33.0","2985.0","28.0","2990.0","7942.0","4572.0","3365.0","62.0","32.0","30.0","122.0","88.0","29.0","72.0","60.0","8.0","48.0","27.0","20.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　68 不動産取引業","332.0","2.0","330.0","12.0","320.0","8.0","324.0","5.0","327.0","1253.0","790.0","463.0","30.0","23.0","7.0","30.0","27.0","3.0","20.0","20.0","-","10.0","7.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業","2439.0","7.0","2432.0","34.0","2405.0","18.0","2421.0","16.0","2423.0","5296.0","2859.0","2436.0","26.0","6.0","20.0","70.0","48.0","22.0","39.0","32.0","7.0","29.0","15.0","14.0"
"　C～R 非農林漁業(S公務を除く)_　　　K1 不動産業 内格付不能_","24.0","-","24.0","1.0","23.0","1.0","23.0","-","24.0","92.0","41.0","51.0","-","-","-","1.0","1.0","-","1.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　K1 不動産業 内格付不能_　　　70 物品賃貸業","223.0","2.0","221.0","12.0","211.0","6.0","217.0","7.0","216.0","1301.0","882.0","415.0","6.0","3.0","3.0","21.0","12.0","4.0","12.0","7.0","1.0","9.0","5.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_","1461.0","21.0","1440.0","33.0","1428.0","20.0","1441.0","13.0","1448.0","7294.0","4802.0","2485.0","47.0","35.0","12.0","262.0","197.0","65.0","148.0","107.0","41.0","110.0","89.0","21.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関","26.0","-","26.0","5.0","21.0","4.0","22.0","2.0","24.0","368.0","213.0","155.0","-","-","-","26.0","24.0","2.0","24.0","24.0","-","2.0","-","2.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)","665.0","7.0","658.0","14.0","651.0","9.0","656.0","3.0","662.0","2667.0","1355.0","1305.0","12.0","3.0","9.0","122.0","75.0","47.0","109.0","70.0","39.0","9.0","4.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　73 広告業","33.0","2.0","31.0","1.0","32.0","1.0","32.0","-","33.0","234.0","148.0","86.0","7.0","7.0","-","5.0","5.0","-","5.0","5.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)","727.0","12.0","715.0","13.0","714.0","6.0","721.0","8.0","719.0","3986.0","3064.0","922.0","28.0","25.0","3.0","109.0","93.0","16.0","10.0","8.0","2.0","99.0","85.0","14.0"
"　C～R 非農林漁業(S公務を除く)_　　　LZ 学術研究，専門・技術サービス業 内格付不能_","10.0","-","10.0","-","10.0","-","10.0","-","10.0","39.0","22.0","17.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_","5927.0","21.0","5906.0","76.0","5851.0","48.0","5879.0","29.0","5898.0","37377.0","13337.0","23755.0","86.0","48.0","38.0","638.0","308.0","330.0","435.0","230.0","205.0","193.0","75.0","118.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業","618.0","5.0","613.0","27.0","591.0","17.0","601.0","12.0","606.0","7288.0","3083.0","4205.0","16.0","10.0","6.0","460.0","232.0","228.0","327.0","187.0","140.0","129.0","42.0","87.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店","4920.0","14.0","4906.0","45.0","4875.0","27.0","4893.0","15.0","4905.0","25910.0","9173.0","16452.0","34.0","9.0","25.0","155.0","70.0","85.0","88.0","39.0","49.0","61.0","31.0","30.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　77 持ち帰り・配達飲食サービス業","318.0","2.0","316.0","2.0","316.0","2.0","316.0","1.0","317.0","3901.0","1018.0","2883.0","36.0","29.0","7.0","18.0","4.0","14.0","17.0","3.0","14.0","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　　M2 飲食店，持ち帰り・配達飲食サービス業 内格付不能_","71.0","-","71.0","2.0","69.0","2.0","69.0","1.0","70.0","278.0","63.0","215.0","-","-","-","5.0","2.0","3.0","3.0","1.0","2.0","2.0","1.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_","4458.0","16.0","4442.0","65.0","4393.0","44.0","4414.0","19.0","4439.0","17230.0","7413.0","9815.0","26.0","12.0","14.0","277.0","156.0","121.0","184.0","107.0","77.0","77.0","35.0","42.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業","3406.0","7.0","3399.0","24.0","3382.0","18.0","3388.0","3.0","3403.0","8869.0","3238.0","5631.0","11.0","2.0","9.0","68.0","40.0","28.0","47.0","26.0","21.0","5.0","-","5.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　79 その他の生活関連サービス業","470.0","6.0","464.0","17.0","453.0","14.0","456.0","4.0","466.0","2703.0","1209.0","1494.0","10.0","8.0","2.0","48.0","23.0","25.0","42.0","21.0","21.0","6.0","2.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　80 娯楽業","564.0","3.0","561.0","24.0","540.0","12.0","552.0","12.0","552.0","5565.0","2933.0","2630.0","5.0","2.0","3.0","161.0","93.0","68.0","95.0","60.0","35.0","66.0","33.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　　NZ 生活関連サービス業，娯楽業 内格付不能_","18.0","-","18.0","-","18.0","-","18.0","-","18.0","93.0","33.0","60.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　O 教育，学習支援業_","1535.0","12.0","1523.0","26.0","1509.0","12.0","1523.0","15.0","1520.0","11081.0","5226.0","5849.0","38.0","25.0","13.0","82.0","45.0","37.0","28.0","18.0","10.0","51.0","27.0","24.0"
"　C～R 非農林漁業(S公務を除く)_　　O 教育，学習支援業_　　　81 学校教育","108.0","1.0","107.0","8.0","100.0","3.0","105.0","6.0","102.0","5484.0","2548.0","2936.0","2.0","2.0","-","24.0","15.0","9.0","6.0","4.0","2.0","18.0","11.0","7.0"
