"産業小分類","事　　業　　所　　数_総　数","事　　業　　所　　数_総　数_存続事業所","事　　業　　所　　数_総　数_新設事業所","事　　業　　所　　数_総　数廃業事業所","従　　業　　者　　数_総　　数","従　　業　　者　　数_総　　数_男","従　　業　　者　　数_総　　数_女","従　　業　　者　　数_総　　数_存続事業所","従　　業　　者　　数_総　　数_存続事業所男","従　　業　　者　　数_総　　数_存続事業所女","従　　業　　者　　数_総　　数_新設事業所","従　　業　　者　　数_総　　数_新設事業所男","従　　業　　者　　数_総　　数_新設事業所女","従　　業　　者　　数_廃業事業所","従　　業　　者　　数_廃業事業所_男","従　　業　　者　　数_廃業事業所_女"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_　　　　062 土木工事業(舗装工事業を除く)","1021.0","1001.0","20.0","166.0","7587.0","6188.0","1399.0","7421.0","6044.0","1377.0","166.0","144.0","22.0","813.0","686.0","127.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_　　　　063 舗装工事業","39.0","38.0","1.0","4.0","293.0","253.0","40.0","287.0","248.0","39.0","6.0","5.0","1.0","47.0","41.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_　　　　064 建築工事業(木造建築工事業を除く)","525.0","519.0","6.0","65.0","3291.0","2580.0","711.0","3237.0","2531.0","706.0","54.0","49.0","5.0","249.0","200.0","49.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_　　　　065 木造建築工事業","353.0","347.0","6.0","59.0","1414.0","1043.0","371.0","1386.0","1021.0","365.0","28.0","22.0","6.0","117.0","95.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業_　　　　066 建築リフォーム工事業","152.0","144.0","8.0","10.0","563.0","415.0","148.0","526.0","383.0","143.0","37.0","32.0","5.0","23.0","16.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_","1271.0","1258.0","13.0","231.0","4857.0","4016.0","841.0","4796.0","3964.0","832.0","61.0","52.0","9.0","576.0","494.0","82.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　070 管理，補助的経済活動を行う事業所","3.0","3.0","-","-","14.0","11.0","3.0","14.0","11.0","3.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　071 大工工事業","303.0","303.0","-","56.0","697.0","589.0","108.0","697.0","589.0","108.0","-","-","-","86.0","74.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　072 とび・土工・コンクリート工事業","83.0","81.0","2.0","13.0","575.0","507.0","68.0","566.0","499.0","67.0","9.0","8.0","1.0","66.0","59.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　073 鉄骨・鉄筋工事業","83.0","82.0","1.0","22.0","680.0","603.0","77.0","670.0","593.0","77.0","10.0","10.0","-","76.0","65.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　074 石工・れんが・タイル・ブロック工事業","49.0","49.0","-","9.0","191.0","147.0","44.0","191.0","147.0","44.0","-","-","-","17.0","14.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　075 左官工事業","130.0","130.0","-","34.0","293.0","262.0","31.0","293.0","262.0","31.0","-","-","-","61.0","60.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　076 板金・金物工事業","134.0","132.0","2.0","21.0","410.0","337.0","73.0","391.0","320.0","71.0","19.0","17.0","2.0","48.0","40.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　077 塗装工事業","202.0","199.0","3.0","24.0","811.0","666.0","145.0","802.0","657.0","145.0","9.0","9.0","-","63.0","51.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　078 床・内装工事業","116.0","115.0","1.0","20.0","401.0","267.0","134.0","394.0","263.0","131.0","7.0","4.0","3.0","41.0","33.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)_　　　　079 その他の職別工事業","168.0","164.0","4.0","32.0","785.0","627.0","158.0","778.0","623.0","155.0","7.0","4.0","3.0","118.0","98.0","20.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業_","1051.0","1031.0","20.0","139.0","8065.0","6834.0","1231.0","7954.0","6746.0","1208.0","111.0","88.0","23.0","480.0","391.0","89.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業_　　　　080 管理，補助的経済活動を行う事業所","3.0","3.0","-","-","189.0","151.0","38.0","189.0","151.0","38.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業_　　　　081 電気工事業","521.0","516.0","5.0","59.0","3031.0","2537.0","494.0","2998.0","2510.0","488.0","33.0","27.0","6.0","162.0","132.0","30.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業_　　　　082 電気通信・信号装置工事業","61.0","60.0","1.0","6.0","1188.0","1050.0","138.0","1164.0","1032.0","132.0","24.0","18.0","6.0","32.0","28.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業_　　　　083 管工事業(さく井工事業を除く)","362.0","349.0","13.0","65.0","2133.0","1704.0","429.0","2080.0","1662.0","418.0","53.0","42.0","11.0","255.0","205.0","50.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業_　　　　084 機械器具設置工事業","68.0","67.0","1.0","7.0","1259.0","1169.0","90.0","1258.0","1168.0","90.0","1.0","1.0","-","28.0","24.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業_　　　　089 その他の設備工事業","36.0","36.0","-","2.0","265.0","223.0","42.0","265.0","223.0","42.0","-","-","-","3.0","2.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　　DZ 建設業 内格付不能_","64.0","63.0","1.0","-","287.0","209.0","78.0","281.0","205.0","76.0","6.0","4.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　DZZ 建設業 内格付不能_","64.0","63.0","1.0","-","287.0","209.0","78.0","281.0","205.0","76.0","6.0","4.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_","4334.0","4230.0","104.0","591.0","63482.0","42994.0","20488.0","60675.0","41075.0","19600.0","2807.0","1919.0","888.0","4064.0","2433.0","1631.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_","781.0","759.0","22.0","86.0","11142.0","4634.0","6508.0","10769.0","4474.0","6295.0","373.0","160.0","213.0","644.0","276.0","368.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　090 管理，補助的経済活動を行う事業所","11.0","10.0","1.0","1.0","239.0","90.0","149.0","235.0","87.0","148.0","4.0","3.0","1.0","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　091 畜産食料品製造業","33.0","28.0","5.0","4.0","770.0","339.0","431.0","687.0","297.0","390.0","83.0","42.0","41.0","30.0","20.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　092 水産食料品製造業","146.0","146.0","-","18.0","1571.0","686.0","885.0","1571.0","686.0","885.0","-","-","-","64.0","31.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　093 野菜缶詰・果実缶詰・農産保存食料品製造業","202.0","193.0","9.0","22.0","3766.0","1404.0","2362.0","3546.0","1316.0","2230.0","220.0","88.0","132.0","329.0","125.0","204.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　094 調味料製造業","51.0","49.0","2.0","4.0","391.0","176.0","215.0","386.0","173.0","213.0","5.0","3.0","2.0","14.0","4.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　095 糖類製造業","1.0","1.0","-","1.0","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","4.0","2.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　096 精穀・製粉業","8.0","8.0","-","3.0","50.0","45.0","5.0","50.0","45.0","5.0","-","-","-","10.0","4.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　097 パン・菓子製造業","138.0","136.0","2.0","17.0","1343.0","501.0","842.0","1332.0","494.0","838.0","11.0","7.0","4.0","89.0","41.0","48.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　098 動植物油脂製造業","1.0","1.0","-","1.0","138.0","101.0","37.0","138.0","101.0","37.0","-","-","-","5.0","4.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業_　　　　099 その他の食料品製造業","190.0","187.0","3.0","15.0","2871.0","1290.0","1581.0","2821.0","1273.0","1548.0","50.0","17.0","33.0","98.0","44.0","54.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_","64.0","62.0","2.0","2.0","1450.0","1081.0","369.0","1406.0","1058.0","348.0","44.0","23.0","21.0","32.0","15.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_　　　　100 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_　　　　101 清涼飲料製造業","18.0","17.0","1.0","2.0","878.0","741.0","137.0","836.0","719.0","117.0","42.0","22.0","20.0","32.0","15.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_　　　　102 酒類製造業","21.0","21.0","-","-","427.0","249.0","178.0","427.0","249.0","178.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_　　　　103 茶・コーヒー製造業(清涼飲料を除く)","7.0","6.0","1.0","-","20.0","6.0","14.0","18.0","5.0","13.0","2.0","1.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_　　　　104 製氷業","6.0","6.0","-","-","15.0","11.0","4.0","15.0","11.0","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_　　　　105 たばこ製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業_　　　　106 飼料・有機質肥料製造業","12.0","12.0","-","-","110.0","74.0","36.0","110.0","74.0","36.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_","719.0","710.0","9.0","141.0","6134.0","3044.0","3090.0","6064.0","3017.0","3047.0","70.0","27.0","43.0","787.0","337.0","450.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　110 管理，補助的経済活動を行う事業所","3.0","3.0","-","-","21.0","12.0","9.0","21.0","12.0","9.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　111 製糸業，紡績業，化学繊維・ねん糸等製造業","22.0","22.0","-","1.0","120.0","74.0","46.0","120.0","74.0","46.0","-","-","-","2.0","1.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　112 織物業","81.0","79.0","2.0","21.0","439.0","269.0","170.0","409.0","256.0","153.0","30.0","13.0","17.0","101.0","59.0","42.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　113 ニット生地製造業","114.0","112.0","2.0","18.0","1165.0","739.0","426.0","1158.0","737.0","421.0","7.0","2.0","5.0","110.0","72.0","38.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　114 染色整理業","35.0","33.0","2.0","14.0","847.0","549.0","298.0","824.0","539.0","285.0","23.0","10.0","13.0","63.0","41.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　115 綱・網・レース・繊維粗製品製造業","60.0","60.0","-","8.0","323.0","218.0","105.0","323.0","218.0","105.0","-","-","-","16.0","11.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　116 外衣・シャツ製造業(和式を除く)","148.0","146.0","2.0","34.0","1002.0","266.0","736.0","996.0","264.0","732.0","6.0","2.0","4.0","196.0","45.0","151.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　117 下着類製造業","30.0","29.0","1.0","7.0","177.0","41.0","136.0","173.0","41.0","132.0","4.0","-","4.0","64.0","36.0","28.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　118 和装製品・その他の衣服・繊維製身の回り品製造業","52.0","52.0","-","10.0","421.0","144.0","277.0","421.0","144.0","277.0","-","-","-","39.0","17.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業_　　　　119 その他の繊維製品製造業","174.0","174.0","-","28.0","1619.0","732.0","887.0","1619.0","732.0","887.0","-","-","-","196.0","55.0","141.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)_","293.0","285.0","8.0","59.0","1918.0","1438.0","480.0","1873.0","1400.0","473.0","45.0","38.0","7.0","278.0","217.0","61.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)_　　　　120 管理，補助的経済活動を行う事業所","2.0","2.0","-","1.0","3.0","3.0","-","3.0","3.0","-","-","-","-","3.0","1.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)_　　　　121 製材業，木製品製造業","181.0","176.0","5.0","42.0","988.0","738.0","250.0","961.0","716.0","245.0","27.0","22.0","5.0","217.0","170.0","47.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)_　　　　122 造作材・合板・建築用組立材料製造業","46.0","45.0","1.0","4.0","670.0","553.0","117.0","657.0","540.0","117.0","13.0","13.0","-","24.0","18.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)_　　　　123 木製容器製造業(竹，とうを含む)","17.0","17.0","-","3.0","84.0","41.0","43.0","84.0","41.0","43.0","-","-","-","14.0","11.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)_　　　　129 その他の木製品製造業(竹，とうを含む)","47.0","45.0","2.0","9.0","173.0","103.0","70.0","168.0","100.0","68.0","5.0","3.0","2.0","20.0","17.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業_","386.0","375.0","11.0","74.0","2138.0","1530.0","608.0","2042.0","1453.0","589.0","96.0","77.0","19.0","282.0","219.0","63.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業_　　　　130 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","2.0","1.0","1.0","2.0","1.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業_　　　　131 家具製造業","93.0","91.0","2.0","12.0","808.0","555.0","253.0","799.0","548.0","251.0","9.0","7.0","2.0","65.0","52.0","13.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業_　　　　132 宗教用具製造業","3.0","3.0","-","1.0","11.0","5.0","6.0","11.0","5.0","6.0","-","-","-","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業_　　　　133 建具製造業","280.0","273.0","7.0","59.0","1290.0","949.0","341.0","1209.0","882.0","327.0","81.0","67.0","14.0","212.0","164.0","48.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業_　　　　139 その他の家具・装備品製造業","8.0","6.0","2.0","2.0","27.0","20.0","7.0","21.0","17.0","4.0","6.0","3.0","3.0","4.0","2.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業_","63.0","62.0","1.0","3.0","881.0","585.0","296.0","831.0","542.0","289.0","50.0","43.0","7.0","12.0","9.0","3.0"
